,gp0_Var_0_Bajo,gp0_Var_1_Bajo,gp0_Var_2_Bajo,gp0_Var_6_Bajo,gp0_Var_7_Bajo,gp3_Var_8_Bajo,gp_Var_9_Bajo,gp_Var_9_Medio,gp_Var_14_Medio,gp_Var_14_Bajo,gp_Var_15_Medio,gp_Var_15_Bajo,gpT_Var_13T_Alto,gpT_Var_13T_Medio,gpT_Var_10T_Medio,gpT_Var_10T_Bajo
7623,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
1419,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
3301,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
929,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3768,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0
2256,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0
5885,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
6475,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
8347,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1
483,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0
6753,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0
2414,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
7986,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1
8872,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0
7034,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
1203,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
528,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
113,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
8807,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0
7567,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0
3764,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
8487,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0
3346,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
6402,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0
7897,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0
7049,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0
5729,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0
2348,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1847,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1
3108,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
